PERFORMANCE_PLAYER_ID,PERFORMANCE_ID,PERFORMANCE_DATETIME,SCORE,RATING,PLAYER_ID,PLAYER_NAME,PHONE_NUMBER,EMAIL,PREFERRED_INSTRUMENT_ID,INSTRUMENT_ID,INSTRUMENT_NAME,SONG_ID,SONG_NAME,ARTIST,RELEASE_YEAR,SONG_DIFFICULTY_RATING,SONG_FUN_RATING
17,5,2026-03-03 00:00:00.000,36951,1.7,8,Shaggy Rogers,555-100-1008,shaggy.rogers@toonmail.com,2,1,Electric Guitar,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
18,5,2026-03-03 00:00:00.000,36951,1.7,12,Johnny Bravo,555-100-1012,johnny.bravo@toonmail.com,3,4,Drums,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
19,5,2026-03-03 00:00:00.000,36951,1.7,13,Finn the Human,555-100-1013,finn@toonmail.com,2,2,Bass Guitar,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
20,5,2026-03-03 00:00:00.000,36951,1.7,7,Scooby Doo,555-100-1007,scooby.doo@toonmail.com,3,3,Vocals,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
21,6,2025-05-02 00:00:00.000,17283,1.2,7,Scooby Doo,555-100-1007,scooby.doo@toonmail.com,3,1,Electric Guitar,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
22,6,2025-05-02 00:00:00.000,17283,1.2,20,Garfield,555-100-1020,garfield@toonmail.com,3,4,Drums,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
23,6,2025-05-02 00:00:00.000,17283,1.2,13,Finn the Human,555-100-1013,finn@toonmail.com,2,2,Bass Guitar,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
24,6,2025-05-02 00:00:00.000,17283,1.2,16,Homer Simpson,555-100-1016,homer.simpson@toonmail.com,3,3,Vocals,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
25,7,2026-03-25 00:00:00.000,15076,8.5,6,Patrick Star,555-100-1006,patrick.star@toonmail.com,4,1,Electric Guitar,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
26,7,2026-03-25 00:00:00.000,15076,8.5,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,4,Drums,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
27,7,2026-03-25 00:00:00.000,15076,8.5,9,Tom Cat,555-100-1009,tom.cat@toonmail.com,1,2,Bass Guitar,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
28,7,2026-03-25 00:00:00.000,15076,8.5,13,Finn the Human,555-100-1013,finn@toonmail.com,2,3,Vocals,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
29,8,2025-04-29 00:00:00.000,57395,5.3,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,1,Electric Guitar,17,Don't Stop Believin',Journey,1981,5.0,9.5
30,8,2025-04-29 00:00:00.000,57395,5.3,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,4,Drums,17,Don't Stop Believin',Journey,1981,5.0,9.5
31,8,2025-04-29 00:00:00.000,57395,5.3,20,Garfield,555-100-1020,garfield@toonmail.com,3,2,Bass Guitar,17,Don't Stop Believin',Journey,1981,5.0,9.5
32,8,2025-04-29 00:00:00.000,57395,5.3,17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4,3,Vocals,17,Don't Stop Believin',Journey,1981,5.0,9.5
33,9,2026-02-12 00:00:00.000,54580,7.6,10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4,1,Electric Guitar,19,We Will Rock You,Queen,1977,3.0,9.0
34,9,2026-02-12 00:00:00.000,54580,7.6,6,Patrick Star,555-100-1006,patrick.star@toonmail.com,4,4,Drums,19,We Will Rock You,Queen,1977,3.0,9.0
35,9,2026-02-12 00:00:00.000,54580,7.6,9,Tom Cat,555-100-1009,tom.cat@toonmail.com,1,2,Bass Guitar,19,We Will Rock You,Queen,1977,3.0,9.0
36,9,2026-02-12 00:00:00.000,54580,7.6,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,3,Vocals,19,We Will Rock You,Queen,1977,3.0,9.0
37,10,2026-03-11 00:00:00.000,23375,4.3,2,Daffy Duck,555-100-1002,daffy.duck@toonmail.com,2,1,Electric Guitar,18,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3
38,10,2026-03-11 00:00:00.000,23375,4.3,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,4,Drums,18,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3
39,10,2026-03-11 00:00:00.000,23375,4.3,11,Dexter,555-100-1011,dexter@toonmail.com,1,2,Bass Guitar,18,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3
40,10,2026-03-11 00:00:00.000,23375,4.3,14,Jake the Dog,555-100-1014,jake@toonmail.com,4,3,Vocals,18,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3
41,11,2025-08-21 00:00:00.000,9096,7.9,11,Dexter,555-100-1011,dexter@toonmail.com,1,1,Electric Guitar,7,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0
42,11,2025-08-21 00:00:00.000,9096,7.9,13,Finn the Human,555-100-1013,finn@toonmail.com,2,4,Drums,7,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0
43,11,2025-08-21 00:00:00.000,9096,7.9,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,2,Bass Guitar,7,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0
44,11,2025-08-21 00:00:00.000,9096,7.9,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,3,Vocals,7,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0
45,12,2026-01-14 00:00:00.000,72329,2.1,2,Daffy Duck,555-100-1002,daffy.duck@toonmail.com,2,1,Electric Guitar,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
46,12,2026-01-14 00:00:00.000,72329,2.1,20,Garfield,555-100-1020,garfield@toonmail.com,3,4,Drums,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
47,12,2026-01-14 00:00:00.000,72329,2.1,11,Dexter,555-100-1011,dexter@toonmail.com,1,2,Bass Guitar,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
48,12,2026-01-14 00:00:00.000,72329,2.1,9,Tom Cat,555-100-1009,tom.cat@toonmail.com,1,3,Vocals,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
49,13,2025-12-07 00:00:00.000,76765,2.9,17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4,1,Electric Guitar,20,Highway to Hell,AC/DC,1979,5.8,8.9
50,13,2025-12-07 00:00:00.000,76765,2.9,10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4,4,Drums,20,Highway to Hell,AC/DC,1979,5.8,8.9
51,13,2025-12-07 00:00:00.000,76765,2.9,6,Patrick Star,555-100-1006,patrick.star@toonmail.com,4,2,Bass Guitar,20,Highway to Hell,AC/DC,1979,5.8,8.9
52,13,2025-12-07 00:00:00.000,76765,2.9,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,3,Vocals,20,Highway to Hell,AC/DC,1979,5.8,8.9
53,14,2025-05-06 00:00:00.000,52133,9.2,14,Jake the Dog,555-100-1014,jake@toonmail.com,4,1,Electric Guitar,16,Kashmir,Led Zeppelin,1975,7.0,8.8
54,14,2025-05-06 00:00:00.000,52133,9.2,7,Scooby Doo,555-100-1007,scooby.doo@toonmail.com,3,4,Drums,16,Kashmir,Led Zeppelin,1975,7.0,8.8
55,14,2025-05-06 00:00:00.000,52133,9.2,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,2,Bass Guitar,16,Kashmir,Led Zeppelin,1975,7.0,8.8
56,14,2025-05-06 00:00:00.000,52133,9.2,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,3,Vocals,16,Kashmir,Led Zeppelin,1975,7.0,8.8
57,15,2025-05-30 00:00:00.000,9523,0.7,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,1,Electric Guitar,4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
58,15,2025-05-30 00:00:00.000,9523,0.7,11,Dexter,555-100-1011,dexter@toonmail.com,1,4,Drums,4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
59,15,2025-05-30 00:00:00.000,9523,0.7,14,Jake the Dog,555-100-1014,jake@toonmail.com,4,2,Bass Guitar,4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
60,15,2025-05-30 00:00:00.000,9523,0.7,19,Popeye,555-100-1019,popeye@toonmail.com,1,3,Vocals,4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
61,16,2026-01-02 00:00:00.000,22468,5.2,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,1,Electric Guitar,1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
62,16,2026-01-02 00:00:00.000,22468,5.2,17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4,4,Drums,1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
63,16,2026-01-02 00:00:00.000,22468,5.2,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,2,Bass Guitar,1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
64,16,2026-01-02 00:00:00.000,22468,5.2,8,Shaggy Rogers,555-100-1008,shaggy.rogers@toonmail.com,2,3,Vocals,1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
65,17,2025-08-30 00:00:00.000,7297,7.7,2,Daffy Duck,555-100-1002,daffy.duck@toonmail.com,2,1,Electric Guitar,4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
66,17,2025-08-30 00:00:00.000,7297,7.7,17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4,4,Drums,4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
67,17,2025-08-30 00:00:00.000,7297,7.7,9,Tom Cat,555-100-1009,tom.cat@toonmail.com,1,2,Bass Guitar,4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
68,17,2025-08-30 00:00:00.000,7297,7.7,8,Shaggy Rogers,555-100-1008,shaggy.rogers@toonmail.com,2,3,Vocals,4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
69,18,2025-12-09 00:00:00.000,61833,5.3,11,Dexter,555-100-1011,dexter@toonmail.com,1,1,Electric Guitar,16,Kashmir,Led Zeppelin,1975,7.0,8.8
70,18,2025-12-09 00:00:00.000,61833,5.3,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,4,Drums,16,Kashmir,Led Zeppelin,1975,7.0,8.8
71,18,2025-12-09 00:00:00.000,61833,5.3,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,2,Bass Guitar,16,Kashmir,Led Zeppelin,1975,7.0,8.8
72,18,2025-12-09 00:00:00.000,61833,5.3,19,Popeye,555-100-1019,popeye@toonmail.com,1,3,Vocals,16,Kashmir,Led Zeppelin,1975,7.0,8.8
73,19,2025-05-14 00:00:00.000,79554,6.5,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,1,Electric Guitar,17,Don't Stop Believin',Journey,1981,5.0,9.5
74,19,2025-05-14 00:00:00.000,79554,6.5,10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4,4,Drums,17,Don't Stop Believin',Journey,1981,5.0,9.5
75,19,2025-05-14 00:00:00.000,79554,6.5,13,Finn the Human,555-100-1013,finn@toonmail.com,2,2,Bass Guitar,17,Don't Stop Believin',Journey,1981,5.0,9.5
76,19,2025-05-14 00:00:00.000,79554,6.5,11,Dexter,555-100-1011,dexter@toonmail.com,1,3,Vocals,17,Don't Stop Believin',Journey,1981,5.0,9.5
77,20,2025-09-30 00:00:00.000,6621,0.3,14,Jake the Dog,555-100-1014,jake@toonmail.com,4,1,Electric Guitar,13,Barracuda,Heart,1977,7.2,8.4
78,20,2025-09-30 00:00:00.000,6621,0.3,14,Jake the Dog,555-100-1014,jake@toonmail.com,4,4,Drums,13,Barracuda,Heart,1977,7.2,8.4
79,20,2025-09-30 00:00:00.000,6621,0.3,13,Finn the Human,555-100-1013,finn@toonmail.com,2,2,Bass Guitar,13,Barracuda,Heart,1977,7.2,8.4
80,20,2025-09-30 00:00:00.000,6621,0.3,9,Tom Cat,555-100-1009,tom.cat@toonmail.com,1,3,Vocals,13,Barracuda,Heart,1977,7.2,8.4
81,21,2025-10-17 00:00:00.000,41256,4.3,3,Mickey Mouse,555-100-1003,mickey.mouse@toonmail.com,3,1,Electric Guitar,3,Hotel California,Eagles,1977,7.8,8.5
82,21,2025-10-17 00:00:00.000,41256,4.3,17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4,4,Drums,3,Hotel California,Eagles,1977,7.8,8.5
83,21,2025-10-17 00:00:00.000,41256,4.3,10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4,2,Bass Guitar,3,Hotel California,Eagles,1977,7.8,8.5
84,21,2025-10-17 00:00:00.000,41256,4.3,3,Mickey Mouse,555-100-1003,mickey.mouse@toonmail.com,3,3,Vocals,3,Hotel California,Eagles,1977,7.8,8.5
85,22,2025-07-05 00:00:00.000,27216,7.2,17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4,1,Electric Guitar,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
86,22,2025-07-05 00:00:00.000,27216,7.2,20,Garfield,555-100-1020,garfield@toonmail.com,3,4,Drums,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
87,22,2025-07-05 00:00:00.000,27216,7.2,10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4,2,Bass Guitar,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
88,22,2025-07-05 00:00:00.000,27216,7.2,9,Tom Cat,555-100-1009,tom.cat@toonmail.com,1,3,Vocals,2,Bohemian Rhapsody,Queen,1975,9.2,9.8
89,23,2025-11-30 00:00:00.000,17247,0.1,13,Finn the Human,555-100-1013,finn@toonmail.com,2,1,Electric Guitar,13,Barracuda,Heart,1977,7.2,8.4
90,23,2025-11-30 00:00:00.000,17247,0.1,19,Popeye,555-100-1019,popeye@toonmail.com,1,4,Drums,13,Barracuda,Heart,1977,7.2,8.4
91,23,2025-11-30 00:00:00.000,17247,0.1,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,2,Bass Guitar,13,Barracuda,Heart,1977,7.2,8.4
92,23,2025-11-30 00:00:00.000,17247,0.1,8,Shaggy Rogers,555-100-1008,shaggy.rogers@toonmail.com,2,3,Vocals,13,Barracuda,Heart,1977,7.2,8.4
93,24,2025-05-28 00:00:00.000,73242,3.2,3,Mickey Mouse,555-100-1003,mickey.mouse@toonmail.com,3,1,Electric Guitar,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
94,24,2025-05-28 00:00:00.000,73242,3.2,10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4,4,Drums,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
95,24,2025-05-28 00:00:00.000,73242,3.2,10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4,2,Bass Guitar,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
96,24,2025-05-28 00:00:00.000,73242,3.2,19,Popeye,555-100-1019,popeye@toonmail.com,1,3,Vocals,6,Smoke on the Water,Deep Purple,1972,4.5,7.5
97,25,2026-03-18 00:00:00.000,63233,7.2,14,Jake the Dog,555-100-1014,jake@toonmail.com,4,1,Electric Guitar,3,Hotel California,Eagles,1977,7.8,8.5
98,25,2026-03-18 00:00:00.000,63233,7.2,16,Homer Simpson,555-100-1016,homer.simpson@toonmail.com,3,4,Drums,3,Hotel California,Eagles,1977,7.8,8.5
99,25,2026-03-18 00:00:00.000,63233,7.2,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,2,Bass Guitar,3,Hotel California,Eagles,1977,7.8,8.5
100,25,2026-03-18 00:00:00.000,63233,7.2,2,Daffy Duck,555-100-1002,daffy.duck@toonmail.com,2,3,Vocals,3,Hotel California,Eagles,1977,7.8,8.5
101,26,2026-03-09 00:00:00.000,53619,6.4,10,Jerry Mouse,555-100-1010,jerry.mouse@toonmail.com,4,1,Electric Guitar,15,Crazy Train,Ozzy Osbourne,1980,8.3,9.1
102,26,2026-03-09 00:00:00.000,53619,6.4,2,Daffy Duck,555-100-1002,daffy.duck@toonmail.com,2,4,Drums,15,Crazy Train,Ozzy Osbourne,1980,8.3,9.1
103,26,2026-03-09 00:00:00.000,53619,6.4,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,2,Bass Guitar,15,Crazy Train,Ozzy Osbourne,1980,8.3,9.1
104,26,2026-03-09 00:00:00.000,53619,6.4,11,Dexter,555-100-1011,dexter@toonmail.com,1,3,Vocals,15,Crazy Train,Ozzy Osbourne,1980,8.3,9.1
105,27,2025-05-26 00:00:00.000,52149,0.4,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,1,Electric Guitar,9,Born to Run,Bruce Springsteen,1975,6.8,8.7
106,27,2025-05-26 00:00:00.000,52149,0.4,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,4,Drums,9,Born to Run,Bruce Springsteen,1975,6.8,8.7
107,27,2025-05-26 00:00:00.000,52149,0.4,6,Patrick Star,555-100-1006,patrick.star@toonmail.com,4,2,Bass Guitar,9,Born to Run,Bruce Springsteen,1975,6.8,8.7
108,27,2025-05-26 00:00:00.000,52149,0.4,14,Jake the Dog,555-100-1014,jake@toonmail.com,4,3,Vocals,9,Born to Run,Bruce Springsteen,1975,6.8,8.7
109,28,2026-01-06 00:00:00.000,93785,9.7,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,1,Electric Guitar,1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
110,28,2026-01-06 00:00:00.000,93785,9.7,16,Homer Simpson,555-100-1016,homer.simpson@toonmail.com,3,4,Drums,1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
111,28,2026-01-06 00:00:00.000,93785,9.7,20,Garfield,555-100-1020,garfield@toonmail.com,3,2,Bass Guitar,1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
112,28,2026-01-06 00:00:00.000,93785,9.7,7,Scooby Doo,555-100-1007,scooby.doo@toonmail.com,3,3,Vocals,1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
113,29,2026-01-03 00:00:00.000,48007,8.8,16,Homer Simpson,555-100-1016,homer.simpson@toonmail.com,3,1,Electric Guitar,19,We Will Rock You,Queen,1977,3.0,9.0
114,29,2026-01-03 00:00:00.000,48007,8.8,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,4,Drums,19,We Will Rock You,Queen,1977,3.0,9.0
115,29,2026-01-03 00:00:00.000,48007,8.8,8,Shaggy Rogers,555-100-1008,shaggy.rogers@toonmail.com,2,2,Bass Guitar,19,We Will Rock You,Queen,1977,3.0,9.0
116,29,2026-01-03 00:00:00.000,48007,8.8,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,3,Vocals,19,We Will Rock You,Queen,1977,3.0,9.0
117,30,2025-08-25 00:00:00.000,38521,6.0,7,Scooby Doo,555-100-1007,scooby.doo@toonmail.com,3,1,Electric Guitar,13,Barracuda,Heart,1977,7.2,8.4
118,30,2025-08-25 00:00:00.000,38521,6.0,12,Johnny Bravo,555-100-1012,johnny.bravo@toonmail.com,3,4,Drums,13,Barracuda,Heart,1977,7.2,8.4
119,30,2025-08-25 00:00:00.000,38521,6.0,12,Johnny Bravo,555-100-1012,johnny.bravo@toonmail.com,3,2,Bass Guitar,13,Barracuda,Heart,1977,7.2,8.4
120,30,2025-08-25 00:00:00.000,38521,6.0,14,Jake the Dog,555-100-1014,jake@toonmail.com,4,3,Vocals,13,Barracuda,Heart,1977,7.2,8.4
121,31,2025-07-07 00:00:00.000,43346,5.5,15,Bart Simpson,555-100-1015,bart.simpson@toonmail.com,1,1,Electric Guitar,8,Paint It Black,The Rolling Stones,1966,6.5,8.0
122,31,2025-07-07 00:00:00.000,43346,5.5,8,Shaggy Rogers,555-100-1008,shaggy.rogers@toonmail.com,2,4,Drums,8,Paint It Black,The Rolling Stones,1966,6.5,8.0
123,31,2025-07-07 00:00:00.000,43346,5.5,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,2,Bass Guitar,8,Paint It Black,The Rolling Stones,1966,6.5,8.0
124,31,2025-07-07 00:00:00.000,43346,5.5,17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4,3,Vocals,8,Paint It Black,The Rolling Stones,1966,6.5,8.0
125,32,2025-11-15 00:00:00.000,67362,9.6,12,Johnny Bravo,555-100-1012,johnny.bravo@toonmail.com,3,1,Electric Guitar,12,Thunderstruck,AC/DC,1990,8.0,9.5
126,32,2025-11-15 00:00:00.000,67362,9.6,20,Garfield,555-100-1020,garfield@toonmail.com,3,4,Drums,12,Thunderstruck,AC/DC,1990,8.0,9.5
127,32,2025-11-15 00:00:00.000,67362,9.6,12,Johnny Bravo,555-100-1012,johnny.bravo@toonmail.com,3,2,Bass Guitar,12,Thunderstruck,AC/DC,1990,8.0,9.5
128,32,2025-11-15 00:00:00.000,67362,9.6,20,Garfield,555-100-1020,garfield@toonmail.com,3,3,Vocals,12,Thunderstruck,AC/DC,1990,8.0,9.5
129,33,2025-05-14 00:00:00.000,61386,3.2,20,Garfield,555-100-1020,garfield@toonmail.com,3,1,Electric Guitar,13,Barracuda,Heart,1977,7.2,8.4
130,33,2025-05-14 00:00:00.000,61386,3.2,6,Patrick Star,555-100-1006,patrick.star@toonmail.com,4,4,Drums,13,Barracuda,Heart,1977,7.2,8.4
131,33,2025-05-14 00:00:00.000,61386,3.2,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,2,Bass Guitar,13,Barracuda,Heart,1977,7.2,8.4
132,33,2025-05-14 00:00:00.000,61386,3.2,13,Finn the Human,555-100-1013,finn@toonmail.com,2,3,Vocals,13,Barracuda,Heart,1977,7.2,8.4
133,34,2025-08-30 00:00:00.000,32544,1.4,12,Johnny Bravo,555-100-1012,johnny.bravo@toonmail.com,3,1,Electric Guitar,12,Thunderstruck,AC/DC,1990,8.0,9.5
134,34,2025-08-30 00:00:00.000,32544,1.4,7,Scooby Doo,555-100-1007,scooby.doo@toonmail.com,3,4,Drums,12,Thunderstruck,AC/DC,1990,8.0,9.5
135,34,2025-08-30 00:00:00.000,32544,1.4,4,Donald Duck,555-100-1004,donald.duck@toonmail.com,4,2,Bass Guitar,12,Thunderstruck,AC/DC,1990,8.0,9.5
136,34,2025-08-30 00:00:00.000,32544,1.4,3,Mickey Mouse,555-100-1003,mickey.mouse@toonmail.com,3,3,Vocals,12,Thunderstruck,AC/DC,1990,8.0,9.5
137,35,2026-01-14 00:00:00.000,26095,1.7,19,Popeye,555-100-1019,popeye@toonmail.com,1,1,Electric Guitar,8,Paint It Black,The Rolling Stones,1966,6.5,8.0
138,35,2026-01-14 00:00:00.000,26095,1.7,2,Daffy Duck,555-100-1002,daffy.duck@toonmail.com,2,4,Drums,8,Paint It Black,The Rolling Stones,1966,6.5,8.0
139,35,2026-01-14 00:00:00.000,26095,1.7,18,George Jetson,555-100-1018,george.jetson@toonmail.com,2,2,Bass Guitar,8,Paint It Black,The Rolling Stones,1966,6.5,8.0
140,35,2026-01-14 00:00:00.000,26095,1.7,1,Bugs Bunny,555-100-1001,bugs.bunny@toonmail.com,1,3,Vocals,8,Paint It Black,The Rolling Stones,1966,6.5,8.0
141,36,2026-01-07 00:00:00.000,14599,9.7,17,Fred Flintstone,555-100-1017,fred.flintstone@toonmail.com,4,1,Electric Guitar,16,Kashmir,Led Zeppelin,1975,7.0,8.8
142,36,2026-01-07 00:00:00.000,14599,9.7,13,Finn the Human,555-100-1013,finn@toonmail.com,2,4,Drums,16,Kashmir,Led Zeppelin,1975,7.0,8.8
143,36,2026-01-07 00:00:00.000,14599,9.7,9,Tom Cat,555-100-1009,tom.cat@toonmail.com,1,2,Bass Guitar,16,Kashmir,Led Zeppelin,1975,7.0,8.8
144,36,2026-01-07 00:00:00.000,14599,9.7,12,Johnny Bravo,555-100-1012,johnny.bravo@toonmail.com,3,3,Vocals,16,Kashmir,Led Zeppelin,1975,7.0,8.8
145,37,2025-09-11 00:00:00.000,72830,6.8,20,Garfield,555-100-1020,garfield@toonmail.com,3,1,Electric Guitar,13,Barracuda,Heart,1977,7.2,8.4
